Mini-Loihi V7.1C production lint
tool=C:\tool\oss-cad-suite\bin\verilator_bin.exe
fallback_used=True
v7_0 PASS diagnostics=110
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\common\rv_fifo.sv:24:31: Operator LT expects 32 bits on the LHS, but LHS's VARREF 'occupancy' generates 3 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\common\rv_fifo.sv:38:27: Operator EQ expects 32 bits on the LHS, but LHS's VARREF 'write_pointer' generates 2 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\common\rv_fifo.sv:45:26: Operator EQ expects 32 bits on the LHS, but LHS's VARREF 'read_pointer' generates 2 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\common\rv_fifo.sv:24:31: Operator LT expects 32 bits on the LHS, but LHS's VARREF 'occupancy' generates 4 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\common\rv_fifo.sv:38:27: Operator EQ expects 32 bits on the LHS, but LHS's VARREF 'write_pointer' generates 3 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\common\rv_fifo.sv:45:26: Operator EQ expects 32 bits on the LHS, but LHS's VARREF 'read_pointer' generates 3 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:227:21: Operator LT expects 32 bits on the LHS, but LHS's VARREF 'lookup_count' generates 4 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:267:31: Bit extraction of array[1:0] requires 1 bit index, not 13 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:273:31: Bit extraction of array[1:0] requires 1 bit index, not 13 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:280:45: Bit extraction of array[2:0] requires 2 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:281:32: Bit extraction of array[2:0] requires 2 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:282:26: Bit extraction of array[2:0] requires 2 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:283:36: Bit extraction of array[2:0] requires 2 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:284:36: Bit extraction of array[2:0] requires 2 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:285:43: Bit extraction of array[2:0] requires 2 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:294:23: Bit extraction of array[0:0] requires 1 bit index, not 8 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:294:69: Operator LT expects 32 bits on the LHS, but LHS's VARREF 'work_count' generates 4 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:295:51: Bit extraction of array[0:0] requires 1 bit index, not 8 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:327:48: Operator SUB expects 32 bits on the LHS, but LHS's ARRAYSEL generates 13 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:327:48: Operator SUB expects 32 bits on the RHS, but RHS's ARRAYSEL generates 13 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:337:61: Operator ADD expects 13 bits on the RHS, but RHS's VARREF 'issue_count' generates 2 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:360:51: Operator ADD expects 32 or 5 bits on the RHS, but RHS's VARREF 'issue_count' generates 2 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:375:45: Operator SUB expects 32 bits on the RHS, but RHS's VARREF 'neuron_work_count' generates 4 bits.
